时间,商品名称,库存变化,单笔销量
2026-04-03 18:08:29,旧,初始库存：10000,0
2026-04-03 18:08:31,新,初始库存：10000,0
2026-04-03 18:39:59,旧,10000 -> 9999,1
2026-04-03 20:02:26,旧,9999 -> 9998,1
2026-04-03 20:02:35,新,10000 -> 9996,4
2026-04-03 20:02:35,新,9996 -> 9997,-1
2026-04-03 20:03:36,新,9997 -> 9996,1
2026-04-03 20:07:44,新,9996 -> 10000,-4
2026-04-03 20:08:41,新,10000 -> 9996,4
2026-04-03 20:16:22,新,9996 -> 9998,-2
2026-04-03 20:17:19,新,9998 -> 9996,2
2026-04-03 20:24:09,新,9996 -> 10000,-4
2026-04-03 20:25:11,新,10000 -> 9996,4
2026-04-03 20:27:31,新,9996 -> 9998,-2
2026-04-03 20:28:38,新,9998 -> 9996,2
2026-04-03 20:32:45,新,9996 -> 10000,-4
2026-04-03 20:33:57,新,10000 -> 9996,4
2026-04-03 20:48:57,新,9996 -> 9998,-2
2026-04-03 20:50:38,新,9998 -> 9996,2
2026-04-03 20:57:45,新,9996 -> 9998,-2
2026-04-03 20:58:29,新,9998 -> 9993,5
2026-04-03 20:59:12,新,9993 -> 9994,-1
2026-04-03 20:59:59,新,9994 -> 9993,1
2026-04-03 21:15:57,旧,9998 -> 9997,1
2026-04-03 22:04:06,旧,9997 -> 9993,4
2026-04-03 22:35:02,旧,9993 -> 9997,-4
2026-04-03 23:51:43,新,9993 -> 9967,26
2026-04-04 09:51:25,旧,9997 -> 9996,1
2026-04-04 11:14:55,新,9967 -> 9984,-17
2026-04-04 11:15:24,新,9984 -> 9967,17
2026-04-04 21:43:53,新,9967 -> 9966,1
2026-04-04 21:45:05,新,9966 -> 16384,-6418
2026-04-04 21:45:54,新,16384 -> 32768,-16384
2026-04-04 21:46:41,新,32768 -> 9966,22802
2026-04-04 21:47:33,新,9966 -> 9968,-2
