时间,商品名称,库存变化,单笔销量
2026-04-03 18:08:29,旧,初始库存：10000,0
2026-04-03 18:08:31,新,初始库存：10000,0
2026-04-03 18:17:30,新,10000 -> 9999,1
2026-04-03 19:08:12,旧,10000 -> 9998,2
2026-04-03 19:56:32,新,9999 -> 10000,-1
2026-04-03 21:55:30,旧,9997 -> 9997,1
2026-04-04 10:50:41,新,10000 -> 10001,-1
2026-04-04 10:51:12,新,10001 -> 10000,1
2026-04-04 11:18:09,新,10000 -> 10002,-2
2026-04-04 11:18:42,新,10002 -> 10000,2
2026-04-04 16:29:40,旧,9997 -> 9996,1
2026-04-04 21:45:54,新,10000 -> 10002,-2
2026-04-04 21:46:41,新,10002 -> 10000,2
